City_ID,City,Country,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Current Description
204,Cravo Norte,CO,6.3017,-70.2041,83.26,73,100,5.06,overcast clouds
205,Ouro Preto Do Oeste,BR,-10.7481,-62.2158,87.82,56,89,6.24,overcast clouds
206,Princeton,US,25.5384,-80.4089,81.01,70,75,19.57,broken clouds
207,Portland,US,45.5234,-122.6762,51.94,47,0,14.97,clear sky
208,Victoria,HK,22.2855,114.1577,75.38,87,100,4.0,overcast clouds
209,Sisophon,KH,13.5859,102.9737,74.1,89,84,7.02,broken clouds
210,Malpe,IN,13.35,74.7167,74.5,63,71,4.63,broken clouds
211,Nome,US,64.5011,-165.4064,33.87,87,100,0.0,overcast clouds
212,Sept-Iles,CA,50.2001,-66.3821,25.05,66,40,9.22,scattered clouds
213,Lebu,CL,-37.6167,-73.65,58.71,69,67,17.29,broken clouds
214,Nanchang,CN,28.6833,115.8833,61.56,80,98,2.66,overcast clouds
215,Buenos Aires,AR,-34.6132,-58.3772,89.49,46,100,5.08,overcast clouds
216,Chabahar,IR,25.2919,60.643,78.04,68,16,4.45,few clouds
217,Port Hardy,CA,50.6996,-127.4199,37.58,81,100,0.0,overcast clouds
218,Kiruna,SE,67.8557,20.2251,0.52,85,0,2.3,clear sky
219,Beyneu,KZ,45.3167,55.2,42.42,81,18,4.88,few clouds
220,Pisco,PE,-13.7,-76.2167,71.65,64,0,18.41,clear sky
221,Dikson,RU,73.5069,80.5464,-15.81,100,92,5.95,overcast clouds
222,Yerbogachen,RU,61.2767,108.0108,-8.95,100,84,4.25,broken clouds
223,Australind,AU,-33.2667,115.7167,55.13,77,100,4.97,overcast clouds
224,Codrington,AU,-38.2667,141.9667,51.39,87,11,16.08,few clouds
225,Svatove,UA,49.4103,38.1503,37.8,83,93,15.17,overcast clouds
226,Abu Samrah,SY,35.3029,37.1841,60.12,60,0,2.51,clear sky
227,Roald,NO,62.5833,6.1333,37.76,80,0,6.91,clear sky
228,Yazd,IR,31.8972,54.3675,53.71,62,0,4.61,clear sky
229,Flinders,AU,-34.5833,150.8552,72.05,80,0,5.99,clear sky
230,Narsaq,GL,60.9167,-46.05,26.82,74,100,6.58,overcast clouds
231,Azov,RU,47.1078,39.4165,54.52,93,100,9.08,overcast clouds
232,Esperance,AU,-33.8667,121.9,57.49,73,74,14.92,broken clouds
233,Mosquera,CO,4.7059,-74.2302,64.49,72,75,9.22,broken clouds
234,La Plata,AR,-34.9215,-57.9545,89.04,32,99,10.07,overcast clouds
235,Kloulklubed,PW,7.0419,134.2556,84.04,74,81,10.49,broken clouds
236,Chokurdakh,RU,70.6333,147.9167,-7.49,97,100,12.24,overcast clouds
237,Eureka,US,40.8021,-124.1637,63.19,71,17,5.99,few clouds
238,Masaurhi,IN,25.3509,85.0342,58.89,45,98,6.2,overcast clouds
239,Cerna,RO,45.0833,28.3167,44.53,71,100,8.5,overcast clouds
240,Warri,NG,5.5167,5.75,77.85,87,100,3.8,overcast clouds
241,Eyl,SO,7.9803,49.8164,79.59,80,99,13.35,light rain
242,Alta Floresta,BR,-9.8756,-56.0861,91.22,55,40,6.91,scattered clouds
243,Beloha,MG,-25.1667,45.05,72.97,69,2,5.08,clear sky
244,Dunedin,NZ,-45.8742,170.5036,54.81,94,100,3.29,overcast clouds
245,Whitehorse,CA,60.7161,-135.0538,16.57,86,100,8.05,light snow
246,Yambio,SS,4.5721,28.3955,70.45,78,100,3.65,overcast clouds
247,Adre,TD,13.4667,22.2,70.29,22,5,12.01,clear sky
248,Murray Bridge,AU,-35.1167,139.2667,55.13,63,5,16.06,clear sky
249,Kaitangata,NZ,-46.2817,169.8464,54.48,89,100,5.86,overcast clouds
250,Spirit River,CA,55.7833,-118.8361,28.83,65,49,5.59,scattered clouds
251,Killarney,IE,52.05,-9.5167,45.32,85,7,9.19,clear sky
252,Clyde River,CA,70.4692,-68.5914,-18.54,94,33,2.57,scattered clouds
253,Poum,NC,-20.2333,164.0167,76.66,78,70,6.49,broken clouds
254,Solola,GT,14.7667,-91.1833,76.95,85,85,1.43,moderate rain
255,Faya,SA,18.3851,42.4509,60.91,67,18,2.91,few clouds
256,Sierpc,PL,52.8568,19.6691,27.59,65,100,10.07,overcast clouds
257,Kruisfontein,ZA,-34.0033,24.7314,56.88,92,1,7.78,clear sky
258,Chemal,RU,51.4111,86.005,25.65,64,100,8.12,overcast clouds
259,Capitao Poco,BR,-1.7464,-47.0594,75.88,87,66,4.61,broken clouds
260,Tucurui,BR,-3.7661,-49.6725,80.13,78,100,4.05,overcast clouds
261,Amga,RU,60.8953,131.9608,-1.8,98,100,4.05,overcast clouds
262,Cururupu,BR,-1.8283,-44.8683,77.47,77,67,4.41,broken clouds
263,Maniwaki,CA,46.3834,-75.966,30.58,59,100,8.05,overcast clouds
264,Jieshi,CN,22.8134,115.8257,71.76,82,95,8.79,overcast clouds
265,Nemuro,JP,43.3236,145.575,42.33,65,76,6.38,broken clouds
266,Arraial Do Cabo,BR,-22.9661,-42.0278,75.16,60,20,10.36,few clouds
267,Vardo,NO,70.3705,31.1107,37.38,70,100,12.66,overcast clouds
268,Spas-Klepiki,RU,55.1347,40.1767,28.4,91,100,10.85,overcast clouds
269,Barra Do Bugres,BR,-15.0725,-57.1811,99.46,18,44,4.79,scattered clouds
270,Gasa,PS,31.5,34.4667,69.01,44,0,10.22,clear sky
271,Pangnirtung,CA,66.1451,-65.7125,-2.36,85,74,4.36,broken clouds
272,Balabac,PH,7.9868,117.0645,79.18,84,100,6.04,moderate rain
273,Luanda,AO,-8.8368,13.2343,78.8,78,75,9.22,broken clouds
274,Anaconda,US,46.1285,-112.9423,14.99,68,13,4.5,few clouds
275,Cheney,US,47.4874,-117.5758,32.0,61,20,6.91,few clouds
276,Russell,US,32.3502,-85.1999,56.8,45,93,5.08,overcast clouds
277,Altay,CN,47.8667,88.1167,21.22,95,100,3.36,overcast clouds
278,Soe,ID,-9.8607,124.284,68.05,92,100,2.84,overcast clouds
279,Canmore,CA,51.0834,-115.3521,34.81,49,55,12.66,broken clouds
280,Mendi,PG,-6.1761,143.6513,56.98,98,100,2.42,overcast clouds
281,Palmer,US,42.1584,-72.3287,40.55,40,20,13.8,few clouds
282,Dingle,PH,10.9995,122.6711,74.44,93,69,5.82,broken clouds
283,Gilgit,PK,35.9221,74.3087,41.02,95,100,0.34,overcast clouds
